sense	Danish	Dutch	Elfdalian	English	Frisian	German	Hindi	Spanish	Swedish
SAY	si:	'zɛɣə(n)	ˈsɑ̀jɑ	seɪ	'sɪzə, 'se:zə	'za:gn̩	bolnɑ	de'θiɾ	ˈsɛ̀jːa
SCRATCH	ˈg̥ʰʁɑsə	'krɑbələ(n), 'krɑbə(n)	klɔː	skrætʃ	'klɑ.uwə	'krat͜sn̩	kʰʊɾəʧnɑ	ras'kaɾ	
SEA	søˀ	ze		si:	seː	ze:	səmʊd̪ɾ	maɾ	hɑːv
SEE	seˀ	zin	sjõː	si:	sjɛn	'ze:ən	d̪ekʰnɑ	beɾ	se:
SEED	fʁœˀ	zat		si:d	si.ə(t)		biʤ	se'miʎa	frøː
SEW	syˀ	'najə(n)	ˈsœ̀ːmɑ	səʊ	na:jə	'nɛ:ən	sinɑ	ko'seɾ	sy:
SHADOW					ska:t		ʧʰɑjɑ	'sombɾa	
SHARP	sg̥ʰɑ:b̥	sχɛrp	wɑsː	ʃɑ:p	skɛrp	ʃarf	t̪ez	afi'laðo	skarp
SHORT	g̥ʰɒ:d̥ʰ	kɔrt	stʉtː	ʃɔ:t	kwat	kʊrt͜s	ʧʰoʈɑ	'koɾto	kɔrt
SING	ˈsøŋə	'zɪŋə(n)	ˈkwɛ̀ðɔ	sɪŋ	'sjoŋə	'zɪŋən	gɑnɑ	kan̪'taɾ	ˈɧɵ̀ŋːa
SIT	ˈseðə	'zɪtə(n)	ˈsɪ̀t͡ʃːɑ	sɪt	'sɪtə	'sɪt͜sn̩	bɛʈʰnɑ	esˌtarsen̪'taðo	ˈsìtːa
SKIN	huðˀ	hœyt	stʃɪnː	skɪn	hu:t	haŭt	kʰɑl	pjel	ɧɪnː
SKY	ˈheməl	lʏχt	ˈɪ̀mɪl	skaɪ	loft	'hɪml̩	ɑkɑʃ	ˈθjelo	ɧyː
SLEEP	ˈsɒwə	'slapə(n)	ˈsɔ̀vɔ	sli:p	'sli.əpə	ʃla:fn̩	sonɑ	doɾ'miɾ	ˈsò:va
SMALL	smɔˀ	klɛin	lɪ̀ːtn̩	smɔ:l	lits	klaĭn	ʧʰoʈɑ	pe'keɲo	ˈlìːtən
SMELL	ˈlɔg̥d̥ə	'rœykə(n)	ˈlʉ̀ptɑ	smɛl	'rukə	'ri:çn̩	sũgʱnɑ	o'leɾ	ˈlɵ̀kta
SMOKE	ʁʌjˀ	rok	ræːk	sməʊk	re:k	raŭx	d̪ʱʊɑ̃	'umo	rø:k
SMOOTH	g̥lad̥ʰ	ɣəˈlɛik, ɣlɑt	l̥lɪ:ɛt	smu:ð	glɛ:t	glat	ʧɪknɑ	ˈliso	glatː
SNAKE	snoˀ	slɑŋ	ʉərm	sneɪk	'slaŋ(ə)	'ʃlaŋə	sɑ̃p		ʊrm
SNOW	sneˀ	snew	snɪʉ̃ə̃	snəʊ	sni.ə	ʃne:	bəɾf	'ɲjeβe	snøː
SPIT	ˈsb̥ød̥ə	'spywə(n)	ˈspʉ̀tːɑ	spɪt	'spø.ijə		t̪ʰuknɑ	esku'piɾ	ˈspɔ̀tːa
STAND	sd̥ɔˀ	stan	ˈstɑ̀ndɑ	stænd	stɪ.ən	'ʃte:ən	kʰəɽɑ ɦonɑ	esˌtaɾðeˈpje	sto:
STAR	ˈsd̥jæɐ̯nə	stɛr	ˈstɪ̀ɛnːɑ	stɑ:	stjɛ:r	ʃtɛrn	t̪ɑɾɑ	es'tɾeja	ˈɧæ̀ːɳa
STICK	ɡ̊ʰɛb	stɔk	kwɪst	stɪk	stɔ:k, stɔk	ʃtɔk	lɑʈʰi	'palo	ˈpɪ̀nːə
STONE	sd̥ʰen	sten	stɪɛ	stəʊn	sti.ən	ʃtaĭn	pət̪t̪ʰəɾ	'pjeðɾa	ste:n
STRAIGHT		rɛχt	rɛtː; rɑːk	streɪt	rjoxt	gə'ra:də	sɪd̪ʱɑ	'rekto	rɑ:k
SUN	sol	zɔn	sʉəl	sʌn	sɪnə	'zɔnə	suɾəʤ	sol	suːl
SWEET					swi.ət		miʈʰɑ	'dulθe	
SWELL	ˈsvulmə	'zwɛlə(n)	ˈswɛ̀lːɑ	swɛl	ɪs 'sʋolən	'ʃvɛlən	pʰulnɑ	in'ʧaɾse	ˈsvɛ̀lːa
SWIM	ˈsvœmə	'zwɛmə(n)	ˈsɪ̀mːɑ	swɪm	'svɪmə	'ʃvɪmən	t̪ɛrnɑ	na'ðaɾ	ˈsɪ̀mːa
TAIL	ˈsd̥jæɐ̠ˀd	start	ˈɔ̀lɔ	teɪl	støt	ʃvant͜s	pũʧʰ		svans
TAKE					'nɪmə		lenɑ	je'βaɾ	
THAT	dɛn, de	di, dɑt, 'ɣenə	ɛːðˈdɑːr; ɑnˈdɑːr; õːˈdɑːr	ðæt	dɔt		ʋo	'ese	
THERE	dɛɐ̯	dar, ɑl'dar	dɑːr	ðɛə	dɛ:r		ʋəɦɑ̃		dæːr
THEY	di	zɛi	dɪɛːr	ðɛɪ	sɛ.ɪ	zi:	ʋe	'ejos	dɔmː
THICK	d̥ʰyg̥ʰ	dɪk		θɪk	dɪk	dɪk	moʈɑ		ɕɔkː
THIGH					bɪl		ʤɑ̃gʱ	ˈmuzlo	
THIN	d̥ʰønˀ	dʏn		θɪn	tɪn	dʏn	pət̪lɑ	del'ɣaðo	tɵnː
THINK	ˈd̥ʰɛŋg̥ə	'dɛŋkə(n)	ˈtɑ̀ɪntʃɑ	θɪŋk	'tɪŋkə	'dɛŋkn̩	soʧnɑ	pen'saɾ	ˈtɛ̀ŋka
THIS	ˈd̥ɛnə, ˈd̥ɛd̥ə	'dezə, dɪt	ˈɪ̀tːɑð; ɪ̀sn̩; ˈɪ̀sʉ̃	ðɪs	dɪzə, dɪt		je	'este	
THREE	d̥ʰʁɛˀ	dri	trɪː	θri:	'trɛ.ijə	draĭ	t̪in	tɾes	treː
THROW	ˈsløŋə	'smɛitə(n)	ˈwɪ̀ndɑ	θrəʊ	'smitə	'vɛrfn̩	pʰẽknɑ	ti'ɾaɾ	ˈkàsta
TIE	ˈɡ̊ʰnydə	'knopə(n)	ˈknɔ̀ɪtɑ	taɪ	'binə	'bɪndn̩	bɑ̃d̪ʱnɑ	a'taɾ	ˈknỳːta
TONGUE	ˈd̥ʰɔŋə	tɔŋ	ˈtʉ̀ŋgɑ	tʌŋ	bla:i̯	't͜sʊŋə	dʒiːbʱ	'leŋɡwa	ˈtɵ̀ŋːa
TOOTH	d̥ʰanˀ	tɑnt	tɑnː	tu:θ	tosk	t͜sa:n	d̪ɑ̃t̪	'djen̪te	tand
TREE	d̥ʰʁɛˀ	bom	trɑɪ	tri:	bɪ.əm	baŭm	peɽ	'aɾβol	trɛ:(d)
TRUE	ʁad̥ʰ	ɣut	rɛtː	raɪt	vi.ər		səɦi	ko'rekto	rɛtː
TURN	ˈvʁiːðə	ˈdraɪə		tɜ:n	'dra:jə	'vɛndn̩	mʊɽnɑ	xi'ɾaɾ	ˈvɛ̀nda
TWO	d̥ʰoˀ	twe	twɔː	tu:	tʋa:	t͜svaĭ	d̪o	dos	tvo:
VOMIT	ˈg̥ʰasd̥ə ʌb̥	ˈspyχə	ˈspɑ̀jɑ	ˈvɑmɪt	ˈspø.ijə		ʊlṭi kəɾnɑ	bomiˈtaɾ	
WALK	g̥ɔˀ	ˈlopə	goː	wɔ:k	'rɪnə		ʈəɦəlnɑ	an'daɾ	go:
WASH	ˈvasg̥ə	ˈwɑsə(n)	ˈrɪ̃̀ɛ̃sɑ	wɒʃ	ˈvɔskjə	'vaʃn̩	d̪ʱonɑ	laˈβaɾ	ˈtvɛ̀tːa
